word;meaning
dabaịdábaị ;"bloody, blood-covered,wet with blood;"
dábdàb;freshly cut and oozing
dálụadàlụa ;walking in a stumbling way on slippery ground
dáma sin kịmị weri ;abuse someone unreservedly and personally
dába-oru; rich deity, places sacred to a deity from which treasure is extracted
dáị;weave into a bigger thread by intertwining smaller strands
dáma;"n. abuse;   v.p.  id. "
dándu;swollen (of whole body of human, animal, or big fish) and approaching a state of decomposition
dáma duo; work in exchange for foodstuff (usually with food included) for an agreed period (only by women who are lazy and have no farm of their own)
dá nìạ kí ̣; accept,receive 
dárị;boil,boil in spirit,be angry, infuriated, talk aloud in fury, sound loudly and melodiously 
dánghèín;n. snake  
dárị;"handsome; beautiful (appreciative)"
dárị araụ; beautiful woman
 dárị owei ;handsome man 
dárịì ̣;appreciative greeting for a man
dárịmọ;boil
 dárịmọ;cause to sound melodiously, beat
dárịmọ;scold in fury
dárịmọ;talk in a loud or overbearing voice
Dárịkoro; name of a shrine 
dasá; stretch,widen
 dasaí;be stretched wide apart
 daụ-ẹríg̣hà;posthumous
daụ ẹríg̣hà tọbọụ;posthumous child 
Daụkpíḳpì; law-breaker
Daụkpíḳpì ṭụa oloko ;law which is not observed by the maker
daụbọyé;bride-price or -wealth due to the father when a daughter gets married
Daụfií; female personal name 
daụbọ́pùloufúrù;tilapia species 
Daụdeighá;male personal name a. 
 daụ́-fàá;fatherless
dawaí; learn
dáwaị;dream
debudebú;round and fat, fresh and robust,
Daụnimighá;male personal name, usually for a posthumous son 
débe-ọgbọlọ;common “periwinkle”
debuludébulu ;of fine-looking stature
deé;circular and brightly coloured
deíìn; pitch-dark
déin dụwẹị dibi ;give a bribe to the people judging a case in order to win it
déin tụa;set a date
déin kii;set a date
déin naa;wake very early at pre- arranged time
déin wẹnị ;"walk at night; cause havoc secretly "
sei deín;dark night
déinbaì ̣;tomorrow
 déinbaị bọ̀ọmọbaị;next tomorrow, the day after tomorrow
déinbaị dèinbaí ̣;daily, every day
