word;meaning
 Erí fìṛí ẉẹ̀nị sin ní bo beeredọ ;Now that he has finished the work he is free and relaxed.
 beí èbií ;";have good luck in farming"
Béi èrema beí èbinimí ;" This woman has good luck in farming; "
Bení ùngúbọọ̀ béindọ;Water has filled the pitcher.
Ungúbi bèni beindọ́ ; The pitcher is full of water
Olúlumọ bo warị bèindọ́ ;The driver ants have filled ortaken possession of the house
 Kíṃ ịmọ kẹ̀ní ḅein ;The people are very many
Ogboinbí beinyemi;The mango is fruiting
Ungú zù béinmọ; Fill the pitcher with water
I beíbì akị káragha yọ̀ beinmọdọ́ ; I have added this to the place that was not complete (e.g. when bringing a small share up to the standard of the rest). I have added this to the place that was not complete (e.g. when bringing a small share up to the standard of the rest).
Erí bère kí bèreyémèé ; He is singing in an emotional way
Beri naaghá fìị ̣kị ukúla-owei baamị; It is not hearing the danger that killed the lame man
 Fánụ tụabọ bèri ghọ fánụ tụagha;Someone who builds fences cannot fence round the ears (an exhortation to listen well)
Áràụ́ bọ́dẹị nì, ̣ ọrọ a bériyaịmị ;When she came, they welcomed her joyfully
Beni biribí bẹbẹ tọrụ bẹbẹ tọrụ ụ̀wọụama kọọ kíṃị zụọyemi;Bathing cures a person in different ways
 Bịdẹmọ́ sẹ̀ bẹ́bẹbẹbẹ kì ẹmi;The cloths are of different kinds
ụ mọmọ́ bẹ̀dẹbẹdẹ mọ́ mìẹ̣;Treat him gently
Bẹdẹẹ kí ạ̀ kị indií kọ̀rị;Hold the fish gently
Bẹdẹẹ timí nì egberí pòi;Listen to the story calmly
Akpọ́ fì ̣ angá bẹ̀ịndọ́ ;She too has passed on
I díṣẹgha kpọ̀, arí ̣ mìẹ̣nghími – Wóyenghi bẹrẹ sìgimọ;Even if you don’t like it, I’ll do it - unless God (prevents me)
Béi ọ̀kpọbị tími bẹ̀seríbẹ̀serí kì langhími;This world will never come to an end
bára gbasà bigi;twist the finger
Kíṃị ìne ghọ biógbò kụ́mọ; Let no one trouble me
Tọ́ọn wẹrị bịdẹ èkpéti ghọ sụọgha;The expected cloth does not enter the box as in something anticipated did not materialize
 Bíẹ̣n ì ḍịsẹyémi ;I feel like defecating
 ụ bịí f̣ìṇí ̣ pù ;Ask him to split the firewood
I bílạ̀ tọọn kí ṭụ̀ọyémàáá?;Are you cooking elephant’s penis? (which is supposed to be very tough said when people are tired of waiting for food)
Béi tọbọ̀ụma bịnalẹẹmọ́yèmọ páayemi ;This girl is developing breasts
Arí ṃu ni ụ̀ bịyanmí;I went to meet him in anger
Ọrọ maá kìṃ ịmọ bó bìỵanmí ;Ṭhe two of them attacked each other
Erí àrá konu bòbomọmị;He stroked her back
Bói bo pẹ̀rẹ sụọ ába, bói bọ̀ghá nì, ̣asa ọkụ́ kọ̀ (tími nì)̣ otútù gbọlụyémi;When Egret was (asked) to become king, he refused, and is pecking shrimps at the steep side of the river.
Bómu nanabọ kị bomu tịbị tụamị;It is the owner of the bomu that sets the first line of it (in weaving)
Bịdẹbí ụ̀ruú bòu ni akíḍọ;The cloth has absorbed the wine
Kíribi bèní bòudọ́ ;The ground has absorbed the water
Beni ní ù boumọ́ ;Make him drink water
Wárịbọọ̀ timi odumọ bó bọdị fàdọọ́ ;The cocoyams that were in the house have shrivelled up
Erí bọlọụ bọ̀ọdọ́ ;He has gone in front
Osi ịkpaí ṃọ̀ náma aka mọ bọọmị;The little snail and the elephant’s tusk are equated
 Pánì ̣ bọọmọ bó; Pass me the plate
Ye iné mịẹ seibọọ̀ ị bọ́ọmọdọ;I have forgiven you for your misdeed
Arị kí ẉò bịbí ḅọ̀ọmọmị ; I interpreted for him
Tọ́rụ mọ tọrụ mọ bọ̀ọyaíḍọụ wèé;An eye is equal to an eye
Indimọ́ tubo bọ̀ụmí; ̣The fish are cheap
 Iné sụụ dọ̀ụbị bọwẹíḍọ;The way you look for fights is too much
Fịdẹí ḅịlabị búlee koro timimèé ;The dead elephant was enormous as it lay
buru arụ́ mọ̀ tọ́rụ fa ;both mother and child dying in the initial stage of delivery
Baụmaá buudọ;The girl is mature
Arí ḅuu wàáà?; Am I a pitcher (to only drink water and not eat food)?
Arí ụ̣kụrẹíṇ timi ni bo ọ̀ngọ́ ghọ̀ bụfịdọ; I have been squatting until it has become my habit
 I bụ́mọun warị bara kị kọ̀rịyémi ;You are building so quickly (as if on a sandbank)
Itúli kpọ kẹ̀nị bụ́rà wẹrịmị ; Ituli kept a bụra-fish (and did not live to eat it)
Itúli wẹrị bụra, ị kpọ́ wẹrịnghàáà;Are you going to keep the bụra-fish that Ituli kept
Bụ́rụkịmị tòun ẹ́rịgha;The prophet does not see what is at his back (said of a completely unexpected event)
Áràụ́ furu ni bụụzeemi ; She is ashamed because she stole
 Árụ dàa páamọ; Push out the canoe
Iné bara nì ị̣ daa kụ́mọ;Do not point your finger at me
Arí ṣèiyé dàanmị;I trod on a snake
Mẹ́nì ẹ zemọ́ dàrịmọ ;Now beat the drums melodiously
Áràụ́ tọ̀bọụ́ dàrịmọmị; She scolded the child in fur
 ụ maní ẉò okólò darịmọyémò;See how he is talking in a loud, overbearing voice
 Ọmịní ạ̀gbunú dàsayémi;They are stretching the agbunú- fishnet
Béi tọbọ̀ụ dée kaamị; This boy is very haughty.
Áràụ́ àrá ịlamọ dèidọ́ ; She has threaded her beads
Wárị sẹ̀ deíìn ki emi;The house is pitch-dark
Erí Ìẓọ́n dàwaíỵemi;He is learning Izọn
 Eréin sẹ̀ dee kí èmi ;The early day is bright
Dọ́ụ̀n kị kọ́rọ-ofoni dèíyemi; It is the grub that changes into the beetle
Arí ị̀ne burubí àkị nị ará buru dèidọ́ ;I have traded my yam for hers
Áràụ́ ìndi yá bùru deimí ; She exchanged fish for yams
Eri kí à déinmọmị; He responded to her speech
Eri kí à déinmọmị; He responded to her talk
Déintuu sèimóò;It is a very dark night
Déin tuu èbimí; It is fairly light tonight.
Wó Woyenghi bara ghọ dẹ̀bẹẹ kí ḅìyémi;We are asking God for peace
 Lẹ́ị dẹ̀bẹẹ timí ;Just be calm
Dẹdẹ fụlọ́ụbọọ̀ ịgịná tụ̀a;Only put a moderate amount of pepper in the soup
Dẹdẹ fụlọ́ụbọọ̀ ịgịná tụ̀a;Don’t put too much pepper in the soup
Dẹdẹní ị̀ dií ;Don’t stare at me like that
Béì tọ́rụama à, dẹdẹ kpọ́ zàụ gha;What tiny eyes these are
Bụ́ọama òó, dẹdẹ kpọ́ dụ̀ba gha; What big feet these are
dẹdẹmọ́ ẹ̀rẹ ;Talk less.
Fịrị wẹní ị̀ ḍẹnghịdọ́ ;I am tired of working
 Erí danghaịn nì ạ dẹ́nghịmị;He is taller than
Erí kụ̀rọ ní ị̀ ḍẹnghịmí ̣; He surpasses me in strength
 Ọmịní ṣụ̀ụbọ́ọ̀ ọ dẹnghịmọ́mị ;They defeated them in the battle
 tẹ́ị mọ dẹ̀rị mọ;lways with smiles
A díbala kụmọ ;Don’t think of her and rejoice
A díbala kụmọ ;Don’t be too proud of her
Boubí dìbiimí;The bush is swampy
Boubí dìbíì ki emi; The bush is swampy
Áràụ́ òpóolo dìbimọmị;She covered up the hole
Tíṇ bị mu bènibọ́ọ̀ digbaa kí kòromí; The tree fell into the water with a heavy splash
 Iné funbi nì ị dịá ;Show me your book
 Mọụn yé nì ị dịadọ́ ;Hunger has made me suffer greatly
Bịdẹmọ́ àkị nị ụráụ dịa;Put the clothes out in the sun
Erí dìạlịị kí ̣ tìẹ̣nimí;He is standing in a conspicuous manner
Erí dìạlịị kí ̣ tìẹ̣nimí;He is standing in a conspicuous place
Erí dìạlịị kí ̣ tìẹ̣nimí;He is standing in a conspicuous way
Ọdụ́mụ kịmị dii timi wẹnịyá dìạmẹịnmí;When the python moves in someone’s presence it is ominous for him
Indimọọ́ dìẹ̣ ;Share out the fish
"Bóda wo ọ̀gbọ́lọ̀ tein; ịndaá arì ḳị bọ́lọụ dìẹ̣nghími ";"Let’s play tops; but you will play first"
Wó wẹnị bo ni ụ̀wọ́ụbọọ̀ dịẹ ladọ́ ;We have gone halfway along the road
Ọrọ maá kìṃịmọ dịẹíḍọ;The two men have pulled apart
Benibí yọ sẹ̀ dịẹmẹíṇ sìndọọ́ ;The water has spread everywhere
Benibí dìẹ̣mẹịnmí; ̣The water has gone in different directions
Bẹ́lẹmọ dìẹ̣mọ nị ọ pịrí;Share the pots among them
Bẹ́lẹmọ dìẹ̣mọ nị ọ pịrí; Share the pots between them
 Arí ọ̀kí dịmị;I can swim
 Arí ọ̀kí dịmị; I know how to swim
 Béi kịmìḅị dịná èbi kaaméèé ;This man’s children have a good genetic inheritance
Indií ì ḍịsẹmí; ̣I like fish
Bení ì ḍịsẹyémi; I feel like drinking water
Áràụ́ ìndibí nì ụ dịsẹmọ́mị;She tantalized him with the sight of the fish
dodó nì wó kpọ la mìẹ̣ghá bì;when we ourselves are unable to do (it)
Wo okólòbi dogudogu kí èmi;He has a bass voice
Yémọ sẹ̀ faá sìndẹí ṇì, ̣ wónì múmi;When everything was finished, we went
 Erí bodọ;He has come
Osuo korodọ́ụ aba, erí ụ̀ya ikpétèdọ́ụ wèé; Whenever rain falls, he is full of regret
 I fụ́ìṇ mọ, ye ị fámụdọ ;If you dare, I’ll beat you
Wónì múnghidọ;We are just about to go
Ọ mudọ́ụ wèé; They have gone
Puloú dọ̀lọ́ nị ị pịrí;Give me a little oil
Dọlọ́ tìmi ni i korú ;Wait for me a little
Dọlọ́ tìmi ni i korú ;Wait for me a while
Wárị sẹ̀ dọ́ọ̀ kị emi; The house is cool
Tọ́rụ bo dọọ̀ kị paadọ́ ;The river has become calm
Bou bení sẹ̀ dọ́ọdọ kị èmi;The water in the bush is very cold
 Ekpétibọọ̀ emi bịdẹmọ dọ́ọdọ kị èmi ;The clothes in the box are quite damp
 Eréma dọ̀nyemí ;The woman is sick
Iyébi ụ̀ dọnmí;It hurt
Iyébi ụ̀ dọnmí;It grieved
Iyébi ụ̀ dọnmí;it angered
 bára bòu dọọ́n ;work hard, so as to have a serious impact on the environment
Bára bòu dọọn-ghá aba, yé fịghá èé;If you don’t work, you won’t eat
dọn-kịmi kí ̣ bụrụkịmị dọụ muyemi; It is the sick person who goes to see a native doctor
Bení dọ̀sụ;Pour out the water
 Puloubí ụ̀ dọsụmẹịnmí;The palm oil poured out over him
Orosóàma ụ dọsụmẹịnmí; ̣Ants poured over him in large numbers
Erí ì ḍọụyémi;He is looking for me
Arí ṭọ̀bọụ kí ḍọ̀ụmị;It is children I nee
Arí ṭọ̀bọụ kí ḍọ̀ụmị;It is children I want
Bóta wo mu fìṇị dọụ́; Let us go and collect firewood
 Erí bodọụ;He has come
 Yémọ sẹ̀ faá sìndẹí ̣ nì, ̣wónì múmi ;When everything was finished, we went
Osuo korodọ́ụ aba, erí ụ̀ya ikpétèdọ́ụ wèé;Whenever rain falls, he is full of regret
I fụ́ìṇ mọ, yeị fámụdọ;  If you dare, I’ll beat you
Wónì múnghidọ;We are just about to go
 Ọ mudọ́ụ wèé ;They have gone
Ọmịní ẉò tuú dùomi;They followed him
Erí àmá dùo wẹ́nịmị;He walked through the town
Béi ègberibi ụ kịrị kí ḍùo bómi;This word came from him
Ọmịní ụ̀ duo páamọmị;They expelled him
Erí dùpuyaa kí ạ̀kị benibọ́ọ̀ kóromi;He fell into the water with a splash
 Ará kiribi duruyemi;Her farm is getting overgrown with weeds
"Tọbọụ́ tìbị dúru bọ̀wẹíḍọ; mẹ́nì kpápụ";"The child’s hair is getting very bushy; have it cut"
baíṇ dùú;escape by running
 Wárị sẹ̀ dúùn ki emi ;The whole house is dusty
Wo bụọ́ dùweimí;He has sprained his foot.
Eréma bogha nì, ̣erí bìṣá dụ̀ kọ múnìmí ;As the woman did not come, he has gone to that area
Dụa kịmịamá bodọ; Some people have come
 I dọlọ́ nì ị̣ dụ́anghị;Let me help you a little 
 Béì dụba kịmí ̣ ;This is a great man
Erí ègberí gbà dụbamọ kaamí; ̣He exaggerated the story a lot
Wó baratụà dụdụ pịrí ̣; Let us help each other/one another
Erí à mọ́mọ dụ̀nịịmí;He quarrelled with her
Áràụ́ tuomọ kpụ̀n dụ́nụmị; She uprooted the grass
Indií ìg̣bọ́bọ̀ọ dụ́nụyemi ;A fish is tugging at the cast-net
 Ará tịbịbị tịn dụ̀ụmị ;She bumped her head on the tree
Erí dụụ kị dụ̀ụmị; He went upstream/north
Béi tịìṇ kì ̣ wárị dụ̀ụmọ tíẹ̣mọnìmí;  It is this piece of wood that is propping up the house
Yeé ègberí nàábì, ̣eberebere kí ì ḳọrịmí;When I heard the story, I was dumbfounded
Fíỵaị ededegu ki ọ̀ mọọ́ akì ḅómi ;They brought a large quantity of food
Edídi ì ḳọrịyémèé ; I feel cold and shivery
ediedié kọ̀rí;  ̣to be puzzled
 Tọ́rụ ẹkẹ̀kẹ edi ịnọọ dụnụyémi;I feel my eyebrow throbbing
Ọ boméèé;They came!
 Serí yèé; Get up
 Wó mu wèé;Let’s go
Árì ̣ eférimefe kìṃị ;You are a shallow-minded fellow
Fíỵaị egbe fìniídọụ wèé; He is overeating (as usual)
 Sẹ́ị egbe fìniídọ;He is indulging in dancing (as usual)
Andá egbe fìniídọụ wèé;He is wrestlingat his best
Beriba egbé dụnụdọ;The plantain has developed its inflorescence
Ará zii egbe fìniídọ; She is now regularly giving birth
Egberí dụ̀ba naá gba dẹnghịya, gbá ghọ paaghà;When a story surpasses telling, it is beyond words
Béi tọ̀bọụbị eke tọ́rụ̀ tụa wónìmí – kílị̣ bụkịlịbụ;This boy has a rat’s eyes – crafty
Erí tọrụ duo nì ekeleíyemi ;He is paddling about the river from town to town
 ekú wò! ;God forbid!
Ekuré ì ̣ kpọụmí; ̣I have stubbed my toe
Ạrí ẹkure kpọụmí; ̣I have stubbed my toe
Áràụ́ bụnụ nì ẹpetemu bodọ́;She has fallen fast asleep
 Epú bìlạ dií kọ̀ngha;A pangolin does not look for food like the elephant 
Indimó àkị nị iséna èri koromọ́ ;Lay the fish out in nine groups
Esimasimá ụ̀ kọrịmí ̣;He was undecided
Erí ì ṃ ọ́mọ ye mịẹdọ aba, esín kpọ fàá; If he is doing something with you, he has no compunction
Kíṃị èsunweín kụmọ ;Do not be grieved
Esunweín ụ̀ kọrịmí ̣ ;He was seized by grief
Uruú tụ̀ọ ifiebi, evíla kị bọlọụ bo paamị ;When the gin was distilled, the evila came out first
Éwùéwù oo! N tẹídọụ;Hurrah! I’m free at last!
 Kíṃị kịmì ẹ̣mẹnẹ ọngọ́ ẹ̀bụmọdẹ́ị kị wo mu ;Let everyone prepare themselves before we go
 Ẹdẹdẹí ḳụmọ, sáramọ mìẹ̣́ sìín; Don’t fiddle about, finish it quickly
 Áràụ́ ẹ̀dẹ́ẹrẹ warị kọọ̀ emí ;She is living in a good condition
 Erí ẹ̀fẹ́n kị bòmi; He came in vain
Ẹfẹ́rụ fọụnyemi ;The wind is blowing
 ẹ̀fụfụ dọnyémi;He is suffering from measles
 ẹ̀fụfụ dọnyémi;He is suffering from chicken- pox
Bútuweibi wòó ẹ̀gbẹmị; The shirt fits him
Béì mịẹ mọ́ ẹ̀gbẹịmí;This is worth doing
Béi maa tà mọ yei mọ ẹgbẹịmí; ̣This husband and wife suit each other
Béi butùweibi ụ mọmọ́ ẹ̀gbẹịmí ̣;This shirt is fits him
Béi butùweibi ụ mọmọ́ ẹ̀gbẹịmí ̣;This shirt is the right size for him
Ẹgbẹnẹgbẹnẹ́ ì ḳọrịmí; ̣I am tired
